"DateTime","Players","Average Players","Flags"
"2022-03-13 00:00:00",12571,,
"2022-03-14 00:00:00",9336,,
"2022-03-15 00:00:00",9570,,
"2022-03-16 00:00:00",8442,,
"2022-03-17 00:00:00",8772,,
"2022-03-18 00:00:00",13602,,
"2022-03-19 00:00:00",15858,,
"2022-03-20 00:00:00",11060,,
"2022-03-21 00:00:00",8171,,
"2022-03-22 00:00:00",8257,,
"2022-03-23 00:00:00",7511,,
"2022-03-24 00:00:00",7604,,
"2022-03-25 00:00:00",13426,,
"2022-03-26 00:00:00",14172,,
"2022-03-27 00:00:00",10076,,
"2022-03-28 00:00:00",7745,,
"2022-03-29 00:00:00",7388,,
"2022-03-30 00:00:00",6697,,
"2022-03-31 00:00:00",6830,,
"2022-04-01 00:00:00",9713,,
"2022-04-02 00:00:00",11043,,
"2022-04-03 00:00:00",8039,,
"2022-04-04 00:00:00",6011,,
"2022-04-05 00:00:00",6714,,
"2022-04-06 00:00:00",5527,,
"2022-04-07 00:00:00",6664,,
"2022-04-08 00:00:00",9071,,
"2022-04-09 00:00:00",9768,,
"2022-04-10 00:00:00",7475,,
"2022-04-11 00:00:00",5802,,
"2022-04-12 00:00:00",6281,,
"2022-04-13 00:00:00",5432,,
"2022-04-14 00:00:00",5688,,
"2022-04-15 00:00:00",7336,,
"2022-04-16 00:00:00",8173,,
"2022-04-17 00:00:00",6073,,
"2022-04-18 00:00:00",5052,,
"2022-04-19 00:00:00",5064,,
"2022-04-20 00:00:00",4592,,
"2022-04-21 00:00:00",4896,,
"2022-04-22 00:00:00",7000,,
"2022-04-23 00:00:00",9290,,
"2022-04-24 00:00:00",8715,,
"2022-04-25 00:00:00",8048,,
"2022-04-26 00:00:00",8132,,
"2022-04-27 00:00:00",7571,,
"2022-04-28 00:00:00",7379,,
"2022-04-29 00:00:00",9409,,
"2022-04-30 00:00:00",10087,,
"2022-05-01 00:00:00",8588,,
"2022-05-02 00:00:00",7242,,
"2022-05-03 00:00:00",7162,,
"2022-05-04 00:00:00",7283,,
"2022-05-05 00:00:00",6774,,
"2022-05-06 00:00:00",7315,,
"2022-05-07 00:00:00",8627,,
"2022-05-08 00:00:00",7368,,
"2022-05-09 00:00:00",5545,,
"2022-05-10 00:00:00",5274,,
"2022-05-11 00:00:00",5022,,
"2022-05-12 00:00:00",4956,,
"2022-05-13 00:00:00",6229,,
"2022-05-14 00:00:00",7728,,
"2022-05-15 00:00:00",5772,,
"2022-05-16 00:00:00",4575,,
"2022-05-17 00:00:00",4509,,
"2022-05-18 00:00:00",4390,,
"2022-05-19 00:00:00",4618,,
"2022-05-20 00:00:00",6449,,
"2022-05-21 00:00:00",7835,,
"2022-05-22 00:00:00",6344,,
"2022-05-23 00:00:00",4813,,
"2022-05-24 00:00:00",4771,,
