"DateTime","Players","Players Trend"
"2023-04-21 13:40:00",67252,21967.948247354507
"2023-04-21 13:50:00",69663,21970.619960455253
"2023-04-21 14:00:00",71394,21971.500702711644
"2023-04-21 14:10:00",72791,21971.476751956572
"2023-04-21 14:20:00",73512,21969.905678185634
"2023-04-21 14:30:00",73733,21966.919952876993
"2023-04-21 14:40:00",73393,21962.7865410053
"2023-04-21 14:50:00",72202,21955.779555224875
"2023-04-21 15:00:00",70362,21946.831018518522
"2023-04-21 15:10:00",67558,21934.917055913807
"2023-04-21 15:20:00",64336,21914.803984788367
"2023-04-21 15:30:00",60719,21890.553695436516
"2023-04-21 15:40:00",56863,21864.643780313058
"2023-04-21 15:50:00",52652,21832.87230282739
"2023-04-21 16:00:00",48591,21799.09945436508
"2023-04-21 16:10:00",43668,21764.56218653549
"2023-04-21 16:20:00",40097,21731.992752425045
"2023-04-21 16:30:00",36733,21698.375268683867
"2023-04-21 16:40:00",33755,21667.536733906527
"2023-04-21 16:50:00",31088,21640.31646136464
"2023-04-21 17:00:00",28846,21615.959346064814
"2023-04-21 17:10:00",26676,21594.201316550927
"2023-04-21 17:20:00",24775,21575.216820987655
"2023-04-21 17:30:00",23057,21558.714192708332
"2023-04-21 17:40:00",21465,21545.35724619709
"2023-04-21 17:50:00",20238,21534.620673500882
"2023-04-21 18:00:00",19069,21525.58304398148
"2023-04-21 18:10:00",17918,21517.046103395063
"2023-04-21 18:20:00",16783,21509.913525132273
"2023-04-21 18:30:00",15942,21504.90646701389
"2023-04-21 18:40:00",15171,21500.566798941803
"2023-04-21 18:50:00",14511,21496.99695836089
"2023-04-21 19:00:00",13827,21494.100756448413
"2023-04-21 19:10:00",13110,21491.86593708664
"2023-04-21 19:20:00",12489,21490.53421241181
"2023-04-21 19:30:00",11895,21489.558531746028
"2023-04-21 19:40:00",11476,21489.055169753083
"2023-04-21 19:50:00",10946,21488.12059771825
"2023-04-21 20:00:00",10473,21488.047288359787
"2023-04-21 20:10:00",10029,21488.463631227947
"2023-04-21 20:20:00",9386,21489.046096505732
"2023-04-21 20:30:00",9222,21491.311941964286
"2023-04-21 20:40:00",8845,21492.583622685182
"2023-04-21 20:50:00",8345,21494.225332754624
"2023-04-21 21:00:00",7975,21496.183841765873
"2023-04-21 21:10:00",7609,21498.098372740296
"2023-04-21 21:20:00",7308,21500.201526675482
"2023-04-21 21:30:00",6991,21502.055369543647
"2023-04-21 21:40:00",6761,21503.702704750882
"2023-04-21 21:50:00",6403,21505.129350611773
"2023-04-21 22:00:00",6191,21507.645833333332
"2023-04-21 22:10:00",5988,21510.613987406305
"2023-04-21 22:20:00",5738,21513.425877700618
"2023-04-21 22:30:00",5538,21516.06427744709
"2023-04-21 22:40:00",5342,21518.25958994709
"2023-04-21 22:50:00",5113,21520.73127480159
"2023-04-21 23:00:00",4955,21523.322647982804
"2023-04-21 23:10:00",4717,21525.592134452163
"2023-04-21 23:20:00",4632,21527.45997299383
"2023-04-21 23:30:00",4534,21528.857855902777
"2023-04-21 23:40:00",4436,21529.728401951063
"2023-04-21 23:50:00",4410,21530.426621748236
"2023-04-22 00:00:00",4339,21530.969328703704
"2023-04-22 00:10:00",4338,21531.57761863426
"2023-04-22 00:20:00",4395,21531.908902391977
"2023-04-22 00:30:00",4482,21532.16982886905
"2023-04-22 00:40:00",4572,21532.456735008815
"2023-04-22 00:50:00",4702,21532.58401193232
"2023-04-22 01:00:00",4832,21532.436445932537
"2023-04-22 01:10:00",5015,21532.261594742064
"2023-04-22 01:20:00",5278,21531.788800705464
"2023-04-22 01:30:00",5536,21530.337456597223
"2023-04-22 01:40:00",5738,21528.40866126543
"2023-04-22 01:50:00",6030,21526.29467730379
"2023-04-22 02:00:00",6402,21523.75421626984
"2023-04-22 02:10:00",6780,21520.58629918981
"2023-04-22 02:20:00",7101,21516.943783068786
"2023-04-22 02:30:00",7462,21513.38910590278
"2023-04-22 02:40:00",7799,21509.506558641973
"2023-04-22 02:50:00",8133,21505.199349647264
"2023-04-22 03:00:00",8430,21500.804336144178
"2023-04-22 03:10:00",8658,21495.879836309523
"2023-04-22 03:20:00",9061,21491.232514880958
"2023-04-22 03:30:00",9292,21485.65016327712
"2023-04-22 03:40:00",9580,21479.621389991185
"2023-04-22 03:50:00",9830,21472.91560570988
"2023-04-22 04:00:00",10192,21466.38690476191
"2023-04-22 04:10:00",10485,21458.499276620376
"2023-04-22 04:20:00",10886,21451.154010967817
"2023-04-22 04:30:00",11291,21443.63227513228
"2023-04-22 04:40:00",11724,21436.372822971785
"2023-04-22 04:50:00",12211,21429.47636959877
"2023-04-22 05:00:00",12716,21422.302517361117
"2023-04-22 05:10:00",13241,21413.945157490085
"2023-04-22 05:20:00",13790,21404.017195767203
"2023-04-22 05:30:00",14186,21392.871093750004
"2023-04-22 05:40:00",14730,21381.15090388008
"2023-04-22 05:50:00",15294,21367.59428736773
